Branch_Name,City_Location,Branch_ID
West_Hub,Giza,BR-10
West_Hub,Alexandria,BR-11
Main_Branch,Cairo,BR-12
Upper_Egypt_Office,Alexandria,BR-13
Delta_Point,Mansoura,BR-14
Delta_Point,Alexandria,BR-15
West_Hub,Cairo,BR-16
Upper_Egypt_Office,Giza,BR-17
North_Zone,Cairo,BR-18
Main_Branch,Suez,BR-19
North_Zone,Mansoura,BR-20
Delta_Point,Suez,BR-21
Upper_Egypt_Office,Suez,BR-22
Upper_Egypt_Office,Tanta,BR-23
Delta_Point,Giza,BR-24
Upper_Egypt_Office,Cairo,BR-25
West_Hub,Tanta,BR-26
West_Hub,Assiut,BR-27
Main_Branch,Tanta,BR-28
Upper_Egypt_Office,Mansoura,BR-29
North_Zone,Alexandria,BR-30
North_Zone,Assiut,BR-31
Delta_Point,Assiut,BR-32
Delta_Point,Tanta,BR-33
West_Hub,Suez,BR-34
Upper_Egypt_Office,Assiut,BR-35
North_Zone,Suez,BR-36
Main_Branch,Mansoura,BR-37
North_Zone,Giza,BR-38
North_Zone,Tanta,BR-39
Main_Branch,Assiut,BR-40
Main_Branch,Giza,BR-41
West_Hub,Mansoura,BR-42
Main_Branch,Alexandria,BR-43
Delta_Point,Cairo,BR-44
