Order_ID,Customer_ID,Product_ID,Branch_ID,Agent_ID,Order_Date,Total_Value,Payment_Method,Down_Payment,Net_Financed,Months_Term,Interest_Rate,Monthly_Installment,Remaining_Balance,Days_Past_Due,Business_Channel,Sales_Platform,Currency,Next_Due_Date
ORD-400000,CUST-1129,PROD-115,BR-16,AG-54,"Thursday, April 20, 2023",32703.1,Cash,32703.1,0,0,0.15,0,0,0,Retail,Website,EGP,5/20/2023
ORD-400001,CUST-1497,PROD-109,BR-12,AG-53,"Sunday, December 31, 2023",54979.45,Cash,54979.45,0,0,0.15,0,0,0,Retail,Website,EGP,1/30/2024
ORD-400002,CUST-1055,PROD-114,BR-10,AG-50,"Thursday, March 16, 2023",18321.06,Installments,3664.21,14656.85,6,0.15,2442.81,1600.63,0,Retail,Website,EGP,4/15/2023
ORD-400003,CUST-1227,PROD-115,BR-17,AG-54,"Wednesday, May 3, 2023",69814.59,Installments,13962.92,55851.67,12,0.15,4654.31,4184.14,0,Retail,Website,EGP,6/2/2023
ORD-400004,CUST-1194,PROD-104,BR-18,AG-51,"Saturday, September 2, 2023",7746.44,Installments,1549.29,6197.15,12,0.15,516.43,4191.24,0,Retail,Website,EGP,10/2/2023
ORD-400005,CUST-1473,PROD-103,BR-14,AG-53,"Tuesday, July 4, 2023",21277.57,Cash,21277.57,0,0,0.15,0,0,15,Retail,Website,EGP,8/3/2023
ORD-400006,CUST-1484,PROD-115,BR-12,AG-54,"Sunday, January 22, 2023",39558.42,Installments,7911.68,31646.74,12,0.15,2637.23,24802.89,0,Retail,Website,EGP,2/21/2023
ORD-400007,CUST-1095,PROD-112,BR-14,AG-55,"Sunday, May 14, 2023",28668.66,Installments,5733.73,22934.93,12,0.15,1911.24,1059.24,0,Retail,Website,EGP,6/13/2023
ORD-400008,CUST-1160,PROD-101,BR-18,AG-54,"Wednesday, August 9, 2023",12105.73,Cash,12105.73,0,0,0.15,0,0,0,Retail,Website,EGP,9/8/2023
ORD-400009,CUST-1175,PROD-115,BR-10,AG-50,"Sunday, December 3, 2023",28127.53,Installments,5625.51,22502.02,12,0.15,1875.17,7380.63,0,Retail,Website,EGP,1/2/2024
ORD-400010,CUST-1433,PROD-111,BR-12,AG-54,"Tuesday, June 6, 2023",43938.22,Cash,43938.22,0,0,0.15,0,0,15,Retail,Website,EGP,7/6/2023
ORD-400011,CUST-1286,PROD-115,BR-16,AG-54,"Sunday, August 13, 2023",47030.67,Installments,9406.13,37624.54,6,0.15,6270.76,14260.74,0,Retail,Website,EGP,9/12/2023
ORD-400012,CUST-1368,PROD-103,BR-12,AG-53,"Friday, June 16, 2023",35004.73,Installments,7000.95,28003.78,12,0.15,2333.65,26799.01,3,Retail,Website,EGP,7/16/2023
