Agent_ID,Agent_Name,Sales_Platform
AG-1,Agent_1,Store
AG-2,Agent_2,Web
AG-3,Agent_3,App
AG-4,Agent_4,Web
AG-5,Agent_5,Store
AG-6,Agent_6,Web
AG-7,Agent_7,Web
AG-8,Agent_8,Store
AG-9,Agent_9,Web
AG-10,Agent_10,App
AG-11,Agent_11,App
AG-12,Agent_12,App
AG-13,Agent_13,Web
AG-14,Agent_14,App
AG-15,Agent_15,App
AG-16,Agent_16,App
AG-17,Agent_17,Store
AG-18,Agent_18,Store
AG-19,Agent_19,Store
AG-20,Agent_20,Web
AG-21,Agent_21,Web
AG-22,Agent_22,Web
AG-23,Agent_23,App
AG-24,Agent_24,Store
AG-25,Agent_25,Store
