Order_ID,Customer_ID,Product_ID,Branch_ID,Agent_ID,Order_Date,Total_Value,Payment_Method,Down_Payment,Net_Financed,Months_Term,Interest_Rate,Monthly_Installment,Remaining_Balance,Days_Past_Due,Currency,Next_Due_Date
ORD-10000,CUST-918,PROD-114,BR-6,AG-7,2/28/2024,33386,Installments,6677.2,26708.8,12,0.2,2225.73,13354.4,0,EGP,4/4/2026
ORD-10001,CUST-102,PROD-121,BR-1,AG-16,4/7/2024,50585.19,Installments,10117.04,40468.15,12,0.2,3372.35,20234.08,0,EGP,4/4/2026
ORD-10002,CUST-646,PROD-170,BR-4,AG-8,2/11/2024,77631.47,Installments,15526.29,62105.18,12,0.2,5175.43,31052.59,0,EGP,4/4/2026
ORD-10003,CUST-920,PROD-104,BR-6,AG-3,8/24/2024,76188.94,Installments,15237.79,60951.15,12,0.2,5079.26,30475.58,120,EGP,4/4/2026
ORD-10004,CUST-665,PROD-81,BR-6,AG-17,1/30/2025,87921.55,Installments,17584.31,70337.24,12,0.2,5861.44,35168.62,0,EGP,4/4/2026
ORD-10005,CUST-855,PROD-85,BR-7,AG-1,1/18/2024,14178.6,Installments,2835.72,11342.88,12,0.2,945.24,5671.44,15,EGP,4/4/2026
ORD-10006,CUST-616,PROD-194,BR-8,AG-2,12/20/2024,62361.49,Cash,62361.49,0,0,0,0,0,0,EGP,
ORD-10007,CUST-117,PROD-174,BR-6,AG-25,1/1/2024,14975.86,Installments,2995.17,11980.69,12,0.2,998.39,5990.34,15,EGP,1/1/1900
ORD-10008,CUST-190,PROD-169,BR-2,AG-13,2/22/2024,80700.65,Cash,80700.65,0,0,0,0,0,0,EGP,
ORD-10009,CUST-890,PROD-72,BR-3,AG-6,1/26/2024,86660.34,Cash,86660.34,0,0,0,0,0,0,EGP,
ORD-10010,CUST-488,PROD-197,BR-10,AG-14,5/17/2024,57861.16,Installments,11572.23,46288.93,12,0.2,3857.41,23144.46,0,EGP,4/4/2026
ORD-10011,CUST-994,PROD-98,BR-1,AG-19,1/19/2024,11504.94,Cash,11504.94,0,0,0,0,0,0,EGP,
ORD-10012,CUST-999,PROD-77,BR-9,AG-7,2/2/2025,44013.18,Cash,44013.18,0,0,0,0,0,0,EGP,
ORD-10013,CUST-390,PROD-167,BR-8,AG-18,1/28/2025,42180.03,Installments,8436.01,33744.02,12,0.2,2812,16872.01,15,egp,4/4/2026
ORD-10014,CUST-188,PROD-184,BR-6,AG-11,2/1/2025,32484.35,Installments,6496.87,25987.48,12,0.2,2165.62,12993.74,0,EGP,4/4/2026
ORD-10015,CUST-771,PROD-184,BR-7,AG-17,5/10/2024,40282.43,Installments,8056.49,32225.94,12,0.2,2685.5,16112.97,15,EGP,4/4/2026
ORD-10016,CUST-791,PROD-76,BR-3,AG-5,2/4/2025,65682.68,Cash,65682.68,0,0,0,0,0,0,egp,
ORD-10017,CUST-738,PROD-193,BR-10,AG-22,9/27/2024,11769.15,Installments,2353.83,9415.32,12,0.2,784.61,4707.66,0,EGP,4/4/2026
